date,hour,min,sec,pos_x,pos_y,pos_z,rot_x,rot_y
2019-01-16,11,39,12.4216,-1.9395,0.0291,4.2041,359.8587,269.8166
2019-01-16,11,39,12.4615,-1.9707,0.0287,4.2072,358.6595,269.4156
2019-01-16,11,39,12.4989,-1.9992,0.0313,4.2092,359.6734,268.9384
2019-01-16,11,39,12.5414,-2.0412,0.0309,4.2113,358.6072,267.7887
2019-01-16,11,39,12.5763,-2.0704,0.0352,4.2115,359.2325,267.1349
2019-01-16,11,39,12.6128,-2.0974,0.0417,4.2116,359.1784,266.5872
2019-01-16,11,39,12.6497,-2.1215,0.0492,4.2112,359.6687,266.1445
2019-01-16,11,39,12.6931,-2.1570,0.0588,4.2107,0.0692,265.5460
2019-01-16,11,39,12.7291,-2.1828,0.0651,4.2102,358.9077,265.2160
2019-01-16,11,39,12.7675,-2.2184,0.0683,4.2095,358.2370,264.7873
2019-01-16,11,39,12.8060,-2.2415,0.0645,4.2091,358.3621,264.5963
2019-01-16,11,39,12.8459,-2.2643,0.0620,4.2087,358.8522,264.4769
2019-01-16,11,39,12.8838,-2.2826,0.0593,4.2053,358.5634,264.5822
2019-01-16,11,39,12.9238,-2.3100,0.0565,4.2019,358.5718,264.7776
2019-01-16,11,39,12.9642,-2.3287,0.0547,4.1986,358.6722,264.8266
2019-01-16,11,39,13.0036,-2.3558,0.0522,4.1937,358.7733,264.4941
2019-01-16,11,39,13.0436,-2.3740,0.0506,4.1895,358.6466,263.7330
2019-01-16,11,39,13.0825,-2.3931,0.0486,4.1854,357.9236,262.8685
2019-01-16,11,39,13.1250,-2.4197,0.0463,4.1795,357.2267,261.9836
2019-01-16,11,39,13.1604,-2.4385,0.0474,4.1758,357.1365,261.6023
2019-01-16,11,39,13.1968,-2.4548,0.0479,4.1717,356.6193,260.3446
2019-01-16,11,39,13.2333,-2.4704,0.0504,4.1676,356.1101,258.6971
2019-01-16,11,39,13.2692,-2.4926,0.0520,4.1606,356.0605,256.3833
2019-01-16,11,39,13.3052,-2.5069,0.0534,4.1555,356.9442,254.3759
2019-01-16,11,39,13.3436,-2.5201,0.0553,4.1499,357.2395,251.9872
2019-01-16,11,39,13.3806,-2.5319,0.0556,4.1438,357.4571,249.1478
2019-01-16,11,39,13.4155,-2.5421,0.0549,4.1366,357.7150,245.8663
2019-01-16,11,39,13.4514,-2.5577,0.0527,4.1248,358.5168,240.3073
2019-01-16,11,39,13.4894,-2.5686,0.0504,4.1160,359.7230,235.7618
2019-01-16,11,39,13.5278,-2.5780,0.0505,4.1066,0.5015,231.0841
2019-01-16,11,39,13.5663,-2.5881,0.0515,4.0985,0.9220,226.8800
2019-01-16,11,39,13.6022,-2.5987,0.0522,4.0850,1.8024,220.9332
2019-01-16,11,39,13.6406,-2.6045,0.0529,4.0752,2.5364,216.6972
2019-01-16,11,39,13.6771,-2.6113,0.0553,4.0656,3.1697,212.9076
2019-01-16,11,39,13.7140,-2.6155,0.0577,4.0562,3.5906,209.5264
2019-01-16,11,39,13.7505,-2.6205,0.0608,4.0461,3.7953,206.3937
2019-01-16,11,39,13.7849,-2.6266,0.0647,4.0297,3.9867,201.9622
2019-01-16,11,39,13.8249,-2.6313,0.0676,4.0162,3.9086,199.4576
2019-01-16,11,39,13.8573,-2.6362,0.0683,4.0024,3.9848,197.3839
2019-01-16,11,39,13.8943,-2.6403,0.0680,3.9889,3.6802,195.9949
2019-01-16,11,39,13.9307,-2.6447,0.0669,3.9745,3.2479,194.8056
2019-01-16,11,39,13.9676,-2.6509,0.0643,3.9523,3.5245,192.9274
2019-01-16,11,39,14.0056,-2.6563,0.0616,3.9353,3.9752,191.9230
2019-01-16,11,39,14.0425,-2.6620,0.0600,3.9157,3.7641,190.9400
2019-01-16,11,39,14.0785,-2.6678,0.0570,3.8964,3.0052,190.1617
2019-01-16,11,39,14.1144,-2.6736,0.0523,3.8766,2.0752,189.5488
2019-01-16,11,39,14.1533,-2.6826,0.0431,3.8453,0.9893,189.0494
2019-01-16,11,39,14.1918,-2.6894,0.0343,3.8209,0.4790,189.0724
2019-01-16,11,39,14.2292,-2.6962,0.0272,3.7960,359.8806,189.1521
2019-01-16,11,39,14.2667,-2.7022,0.0247,3.7710,0.2101,189.2730
2019-01-16,11,39,14.3046,-2.7108,0.0246,3.7325,359.9648,189.2716
2019-01-16,11,39,14.3420,-2.7158,0.0278,3.7017,357.8116,188.9050
2019-01-16,11,39,14.3795,-2.7186,0.0291,3.6753,359.0075,188.5113
2019-01-16,11,39,14.4144,-2.7203,0.0318,3.6503,0.0188,188.3617
2019-01-16,11,39,14.4509,-2.7235,0.0429,3.6106,358.5454,188.5231
2019-01-16,11,39,14.4908,-2.7246,0.0474,3.5833,359.5164,189.0782
2019-01-16,11,39,14.5258,-2.7242,0.0502,3.5573,0.6182,189.2693
2019-01-16,11,39,14.5632,-2.7237,0.0525,3.5340,0.5179,189.1729
2019-01-16,11,39,14.6001,-2.7230,0.0551,3.4981,0.1433,188.6978
2019-01-16,11,39,14.6371,-2.7216,0.0549,3.4721,0.0579,187.9460
2019-01-16,11,39,14.6750,-2.7203,0.0550,3.4445,359.8688,187.2082
2019-01-16,11,39,14.7120,-2.7190,0.0538,3.4188,359.4678,186.6072
2019-01-16,11,39,14.7489,-2.7179,0.0504,3.3927,359.4946,186.1050
2019-01-16,11,39,14.7853,-2.7154,0.0446,3.3525,359.2415,185.3428
2019-01-16,11,39,14.8243,-2.7133,0.0373,3.3222,359.5115,184.8737
2019-01-16,11,39,14.8597,-2.7111,0.0304,3.2917,359.1114,184.5577
2019-01-16,11,39,14.8962,-2.7088,0.0263,3.2613,358.8130,184.4606
2019-01-16,11,39,14.9306,-2.7063,0.0243,3.2311,358.7419,184.5570
2019-01-16,11,39,14.9661,-2.7017,0.0241,3.1840,357.3489,184.8443
2019-01-16,11,39,15.0015,-2.6985,0.0309,3.1517,357.5189,185.6449
2019-01-16,11,39,15.0385,-2.6957,0.0376,3.1158,353.7237,186.0018
2019-01-16,11,39,15.0749,-2.6932,0.0419,3.0852,353.9737,185.9954
2019-01-16,11,39,15.1153,-2.6923,0.0460,3.0556,355.4745,186.2087
2019-01-16,11,39,15.1508,-2.6906,0.0562,3.0099,355.1831,186.0952
2019-01-16,11,39,15.1907,-2.6898,0.0612,2.9781,355.3623,185.9705
2019-01-16,11,39,15.2292,-2.6885,0.0636,2.9445,355.6651,185.7132
2019-01-16,11,39,15.2676,-2.6872,0.0623,2.9133,356.2157,185.5731
2019-01-16,11,39,15.3035,-2.6852,0.0604,2.8656,356.6557,185.5117
2019-01-16,11,39,15.3370,-2.6844,0.0571,2.8308,356.8111,185.7238
2019-01-16,11,39,15.3734,-2.6838,0.0520,2.7973,356.8748,185.9413
2019-01-16,11,39,15.4079,-2.6837,0.0466,2.7648,356.6924,185.9519
2019-01-16,11,39,15.4453,-2.6842,0.0396,2.7315,356.7195,185.8497
2019-01-16,11,39,15.4803,-2.6852,0.0326,2.6977,357.2430,185.7193
